SAMPLE_KEY,smiles
BJ1896205,Cc1cc(ccc1NC(=O)c1ccnn1C)\N=N\c1ccccc1C
BJ1896206,COc1cc2c(NC3CCN(C)CC3)nc(nc2cc1OCCCN(C)C)N1CCCN(C)CC1
BJ1895959,OC(Cc1cnc2ccccn12)(P(O)(O)=O)P(O)(O)=O
BJ1896819,COc1cc(C[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Cc2ccc(O)c(OC)c2)ccc1O
BJ1894496,CC(=O)NO
BJ1894504,Nc1ccc(cc1)C([O-])=O
BJ1894405,OCCNC(=O)CCCCCCCC(=O)NCCO
BJ1895766,Oc1ccccc1\C=N\NC(=O)c1ccccc1O
BJ1894229,FC(F)(F)c1ccccc1-n1ccnc1
BJ1896404,CC(C)(C)NS(=O)(=O)c1cncc(c1)-c1cc(F)c2nc(N)nn2c1
BJ1894360,NCCOB(c1ccccc1)c1ccccc1
BJ1896419,COc1ccccc1-c1c[nH]c2ncc(cc12)-c1cncc(c1)C(=O)N(C)C
BJ1894366,CC(C)(C)c1cc(O)c(cc1O)C(C)(C)C
BJ1896427,CN1CCC[C@H]1c1cncc(c1)C#C
BJ1895786,Oc1ccc(NC(=O)CCCc2ccc(cc2)-c2ccccc2F)cc1
BJ1896402,COc1cc(Br)c(cc1OC)S(=O)(=O)Nc1ccc(c(O[C@@H]2CCN(C)C2)c1)C(F)(F)F
BJ1894327,Cc1c(nn(c1-c1ccc(I)cc1)-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1
BJ1896436,O=C(Nc1ccccc1C(=O)NC1CCCCNC1=O)c1cc2ccccc2s1
BJ1896834,COc1cc2CCN(C)C(CCc3ccc(Cl)cc3)c2cc1O
BJ1896138,COc1cc2nc(nc(NC3CCCCCC3)c2cc1OC)N1CCC(CC1)N1CCCCC1
BJ1894105,COCc1nc2c([nH]1)n(CC(C)C)c(=O)n(C)c2=O
BJ1894326,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)Nc1ccc(O)cc1
BJ1895719,CNC[C@@H]1CC[C@@H](N)[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1
BJ1894544,OC([C@H](COC(=O)CCC([O-])=O)NC(=O)C(Cl)Cl)c1ccc(cc1)[N+]([O-])=O
BJ1894557,Cc1cc(C2CCCCC2)n(O)c(=O)c1
BJ1894552,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12
BJ1896374,Cc1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1Nc1ccc2c(NC(=O)\C2=C/c2ccc[nH]2)c1
BJ1894380,Oc1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1
BJ1896201,Cc1cc(on1)C(=CNc1ccc(Cl)cc1)C(=O)Nc1ccc(Cl)cc1 |w:7.8|
BJ1896439,Cc1oc(nc1CCOc1ccc(CC2SC(=O)NC2=O)c2sccc12)-c1ccccc1
BJ1894348,OC(CN1CCN(CC1)c1cccc(Cl)c1)C(c1ccccc1)c1ccccc1
BJ1895733,Fc1ccc(cc1)-c1nc2SCCn2c1-c1ccncc1
BJ1894215,CN1CCN(CCc2ccc(Cl)c(Cl)c2)CC1
BJ1894174,CCC(Oc1ccc(Cl)cc1)C(=O)OC1CC2CCC(C1)N2C
BJ1896441,FC(F)(F)c1cc(NC(=S)Nc2ccc(Br)cc2-c2nnn[nH]2)cc(c1)C(F)(F)F
BJ1896472,CCC(=O)N1CCOc2c(C1)cc(cc2OC[C@H]1CCCN(C)C1)-c1ccc(OC)c(OC)c1
BJ1895773,[O-][N+](=O)c1ccccc1S(=O)(=O)NC[C@H]1CC[C@H](CNCC2CCc3ccccc3C2)CC1
BJ1895691,NCCCCCc1cnc[nH]1
BJ1895690,CCCc1c(OCCCOc2ccc(OCC(O)=O)cc2)ccc(CC=O)c1O
BJ1894061,Clc1cccc(Nc2nnc(-c3ccccc3)c3ccccc23)c1
BJ1896053,Cc1ccccc1C(N1C2CCC1CC(O)(C2)c1ccccc1)c1ccccc1C
BJ1896183,"CC1=C(C(c2cccc(c2)[N+]([O-])=O)C(=C(C)N1)P1(=O)OCC(C)(C)CO1)C(=O)OCCN(Cc1ccccc1)c1ccccc1 |t:1,14|"
BJ1895597,CCOc1cc(OCC)c(cc1OCC)C(=O)CCC(O)=O
BJ1895584,CC(COc1ccccc1Cc1ccccc1)N1CCCCC1
BJ1894576,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
BJ1894408,CC(=O)C1C(=O)OC(C)=CC1=O |c:8|
BJ1894579,Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1
BJ1896344,FC(F)(F)c1cccc(NC(=O)Nc2ccc(Br)cc2-c2nnn[nH]2)c1
BJ1894173,CC(C(=O)OC1CC2CCC(C1)N2C)c1ccc(Br)cc1
BJ1895999,Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl
BJ1894166,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1
BJ1896556,CCn1c2nc(Nc3ccc(N4CCNCC4)c(F)c3)ncc2cc(-c2ccc(Cl)cc2Cl)c1=O
BJ1895705,CS(=O)(=O)c1ccc(Cn2c3C(CC(O)=O)CCCc3c3cc(F)cc(F)c23)cc1
BJ1894040,CC(=O)NCCc1c[nH]c2ccccc12
BJ1894193,CCCN(C\C=C\I)C1CCc2cccc(O)c2C1
BJ1896389,OCCNC(=O)c1cc(cc(c1)C(=O)NCCO)C(=O)NCCO
BJ1896486,C(Nc1ncnc2oc(c(-c3ccccc3)c12)-c1ccccc1)[C@@H]1CCCO1
BJ1894211,CC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12
BJ1895765,[H][C@@]12CCc3cc(ccc3[C@@]1(C)CCC[C@@]2(C)CN)C(C)C
BJ1896442,CC1CCc2c(cc(Br)c(F)c2Br)N1C=O
BJ1896341,[O-][N+](=O)c1ccc(cc1)C(=O)Nc1cc(nn1-c1ccccc1)-c1ccccc1
BJ1894197,CN\C(NCCSCc1csc(N=C(N)N)n1)=N/C#N
BJ1894390,OC(=O)C1=CCCN(CCOC(c2ccc(cc2)C(F)(F)F)c2ccc(cc2)C(F)(F)F)C1 |t:3|
BJ1895621,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1
BJ1896020,"[H][C@@]12CC(C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |c:28,t:24|"
BJ1894495,CC(=O)Nc1nnc(s1)S(N)(=O)=O
BJ1894555,NS(=O)(=O)c1cc(ccc1Cl)C1(O)NC(=O)c2ccccc12
BJ1894502,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
BJ1894017,OC(=O)c1cc(O)c2ccccc2n1
BJ1894038,CN1CCN(CC1)C(C)=O
BJ1894217,C(Oc1ccccc1C1CC1)C1=NCCN1 |t:13|
BJ1896044,COc1ccc(cc1N1CCNCC1)S(=O)(=O)Nc1cc(Cl)cc(Cl)c1OC
BJ1896167,Nc1nc2c(ccc3ccccc23)s1
BJ1896093,FC(F)(F)c1ccc(NC(=O)N2CCN(CC2)c2ncccc2C(F)(F)F)nc1
BJ1894324,Clc1ccc2NC(=O)CSC(c3ccccc3Cl)c2c1
BJ1894032,NC(C(O)=O)c1ccc(C(O)=O)c(O)c1
BJ1896478,Cc1cc(C)c(C2=NOC3C4CCC(C4)C23)c(C)c1 |t:6|
BJ1894125,Oc1ccc(\C=C(/C#N)C(=O)NCCCCc2ccccc2)cc1O
BJ1895700,Cc1ccc(cc1)S(=O)(=O)NCc1ccccc1
BJ1896470,CCC(C)CNCC(=O)N1CCc2sccc2C1COc1cccc(C)c1
BJ1896483,OC[C@@H](NC(=O)Nc1ccc(cc1)-c1ccncc1)c1ccccc1
BJ1896314,CCn1c2ccccc2c2cc(CNC)ccc12
BJ1894311,COc1cc2CC(=O)NN=C(c3ccc(N)cc3)c2cc1OC |t:9|
BJ1895987,CCCCN(CC)c1nc(C)nc2n(c(C)c(C)c12)-c1c(C)cc(C)cc1C
BJ1894222,CC(C)SC(N)=N
BJ1896497,Oc1ccc2N(CCCc2c1)c1ccnc(Nc2ccc(cc2)S(=O)(=O)NCC2CC2)n1
BJ1896024,Cc1ccccc1N1CCN(CCc2nnc3CCCCn23)CC1
BJ1894562,CC(C)(Oc1ccc(Cl)cc1)C(O)=O
BJ1894570,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3C(=O)C[C@]12C |t:15|
BJ1894565,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
BJ1896456,Cc1ccc(cc1NC(=O)c1ccc(OCc2ccccn2)cc1)-c1ncc[nH]1
BJ1894317,CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C
BJ1894328,"COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCCN1CCC(CC1)(c1ccccc1)c1ccccc1 |c:4,9|"
BJ1894386,[H][C@@]12Oc3c4c(CC5N(CC6CC6)CC[C@@]14[C@@]5(O)Cc1c2[nH]c2ccc(NC(N)=N)cc12)ccc3O
BJ1896107,COC(=O)c1sccc1S(=O)(=O)Nc1ccc(Nc2ccccc2)cc1OC
BJ1894130,OC(=O)C(Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1
BJ1896123,O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1
BJ1896141,CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1
BJ1896170,Clc1ccc(cc1)C(=O)Nc1c(nc2ccccn12)-c1cccs1
BJ1896397,Fc1ccc(NC(=O)N2CCc3ccccc3C2c2ccc(cc2)C(F)(F)F)cc1
BJ1896409,CS(=O)(=O)N(CC(O)Cn1c2ccccc2c2ccccc12)Cc1ccco1
BJ1894315,Cc1ccc(=O)n(c1)-c1ccccc1
BJ1894296,CCCC[P+](CCCC)(CCCC)Cc1ccc(NC(=O)[C@H](Cc2ccc3ccccc3c2)N\C(NC2CCCCC2)=N\C2CCCCC2)cc1
BJ1894010,[H][C@@]1(CC[C@](N)(C1)C(O)=O)C(O)=O.[H][C@]1(CC[C@@](N)(C1)C(O)=O)C(O)=O
BJ1896074,O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1
BJ1894310,OC(=O)C1CCCN(CCC=C(c2ccccc2)c2ccccc2)C1
BJ1896033,CCCCOC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F
BJ1894575,N[C@@H]1CONC1=O
BJ1894453,O=c1ccc2ccccc2o1
BJ1894406,CN(C)CCS
BJ1896410,FC(F)(F)Oc1ccc(CNC(=O)C2N(C3CCOCC3)C(=O)c3ccccc23)cc1
BJ1894039,CC(=O)N1CC[N+](C)(C)CC1
BJ1896131,OC(=O)c1ccc(cc1C1CCCC1)-c1c[nH]c2ncc(cc12)-c1ccccc1
BJ1896513,CC(C)C[C@H](N(C)C(=O)Cc1ccc(NC(=O)Nc2ccccc2C)cc1)C(=O)NCC[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1)C(O)=O
BJ1894335,Cc1nccc2c3ccccc3[nH]c12
BJ1894198,OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N
BJ1894090,CN(CCN1CCCC1)CCc1ccc(Cl)c(Cl)c1
BJ1894218,Clc1cccc2CN(Cc12)C1=NCCN1 |t:12|
BJ1895799,CCc1cc(C(C)=O)c(O)cc1OCCCCCC(C)(C)c1nnn[nH]1
BJ1895792,OC(CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1
BJ1896208,NC(=O)N1c2ccccc2CC(O)c2ccccc12
BJ1896494,Cc1ccc(cc1)-c1n[nH]c2C(=O)N(C(c12)c1cccc(O)c1)c1ccc(cc1)C(O)=O
BJ1895736,CCCCn1c(=O)n(CCCO)c2nc([nH]c2c1=O)C12CC3CC1CC(C2)C3
BJ1894123,CCCCCCCCCCCCCCCC(=O)OC(CC(O)=O)C[N+](C)(C)C
BJ1896833,CN1Cc2c(ncn2-c2ccsc2C1=O)C(=O)OC(C)(C)C
BJ1896293,Cn1cc(cn1)-c1[nH]c2cc(NC(=O)[C@H](N)C3CCCCC3)cc3c2c1cn[nH]c3=O
BJ1894369,[H][C@]12COc3ccc(O)cc3[C@]1([H])OCCN2CCC
BJ1894161,COc1cc(N)c(Cl)cc1C(=O)OCCCN1CCCCC1
BJ1895990,"CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2c([O-])cc(NC(=O)\C(C)=C/C=C/C(C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c(O)c2c(O)c3C |c:23,t:3,25|"
BJ1894560,C[N+]12CCC(CC1)C(C2)OC(=O)C(O)(c1ccccc1)c1ccccc1
BJ1894500,CCN(CCCc1ccccc1)CCCc1ccccc1
BJ1895793,Cc1cc(sc1C(N)C(O)=O)C(O)=O
BJ1894205,COc1ccc(CNC(=O)\C=C\c2ccc3[nH]cc(CCN(C)C)c3c2)cc1
BJ1894041,C(C(N1CCCCC1)c1ccccc1)c1ccccc1
BJ1896209,Cc1nnc(o1)-c1ccc2occ(-c3ccc(cc3)S(C)=O)c2c1
BJ1894216,Oc1cc2CCC3NCc4ccccc4C3c2cc1O
BJ1896408,CN(C)NC(=O)CCC(O)=O
BJ1896655,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(n1)C(C)(C)C
BJ1894022,NCC(O)(CS(O)(=O)=O)c1ccc(Cl)cc1
BJ1896452,CN1C2CCC1C=C(C2)c1sccc1Br |c:7|
BJ1896135,[H][C@]12CC=C[C@@]1([H])c1cc(ccc1N[C@H]2c1cc2OCOc2cc1Br)C(C)=O |c:3|
BJ1895775,OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12
BJ1896363,COc1ccc(cc1)C1(CNC(=O)c2ccc(NC(=O)c3ccco3)cc2)CCOCC1
BJ1896839,O=C(N1CCC(CC1)N1CCCC1)c1ccc(Nc2nccc(n2)-c2cc3ccccc3s2)cc1
BJ1894243,CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1
BJ1896087,CC(C)C(=O)Nc1ccc(C)c(c1)C1CCN(Cc2ccc(Oc3ccc(F)c(F)c3)cc2)CC1
BJ1896818,[H][C@]12SCC(CSc3nnnn3CC(O)=O)=C(N1C(=O)[C@@]2([H])NC(=O)Cc1ccccc1CN)C(O)=O |c:16|
BJ1896816,"CCC(=O)O[C@H]1[C@H](C)O[C@H](C[C@@]1(C)O)O[C@@H]1[C@@H](C)O[C@@H](O[C@H]2[C@@H](CC=O)C[C@@H](C)[C@@H](O)\C=C\C=C\C[C@@H](C)OC(=O)C[C@@H](OC(=O)CC)[C@@H]2OC)[C@H](O)[C@H]1N(C)C |t:32,34|"
BJ1894573,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
BJ1894409,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
BJ1894580,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)C(=O)C[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])CC(=O)CC[C@]12C
BJ1896469,OC(=O)[C@@H](Cc1ccccc1)NC(=O)c1sc2cc(F)ccc2c1Cl
BJ1896380,Clc1cccc(NC(=O)Nc2ncc(CCNc3ncnc4ccsc34)s2)c1
BJ1896420,CSc1nc2ccc3nc(NC(=O)C(c4ccccc4)c4ccccc4)sc3c2s1
BJ1894341,COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1
BJ1896147,Oc1ccc(cc1)-c1oc2cc(O)cc(O)c2c(=O)c1O
BJ1894347,CC(=O)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc12
BJ1896520,"CCOC(=O)C1=C(C)NC2=C(C1c1ccc(cc1)-c1ccccc1)C(=O)CC(C)(C)C2 |c:5,9|"
BJ1896507,"CC(C)(N)c1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]1CCc2ccc(OC3=C4CCC(=O)N=C4NC=C3)cc2C1 |c:26,32,36|"
BJ1894246,NC(=N)NC(=N)Nc1ccccc1
BJ1896310,CCC(CC)Nc1nc(C)c(nc1OC)-c1ccc(OC(F)(F)F)cc1OC
BJ1896504,OC(=O)C(\C#N)=C\c1ccc(O)cc1
BJ1896327,Fc1ccc(C2=NOC(CC(=O)N3CCOCC3)C2)c(F)c1 |t:5|
BJ1894356,CCCCC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12
BJ1896220,Cn1c(NC[C@@H](N)Cc2ccccc2)nc(-c2ccncc2)c(-c2ccc3ccccc3c2)c1=O
