compound,PC1,PC2,smiles
BJ1896326,89.10520888949455,-6.517098165808755,NC(=O)c1cccc(c1)-c1cc(Nc2ccc(OC(F)(F)F)cc2)ncn1
BJ1895688,57.12581757560129,-6.576509530526785,COC(=O)c1ccccc1NC(=O)c1ccc(F)cc1
BJ1896446,75.72523699255662,-11.8381415223139,CCCCNc1nc(N)c2[nH]c(=O)n(Cc3ccc(OCCN(C)C)nc3)c2n1
BJ1894187,61.17903504223512,-11.273066803561044,CS(=O)(=O)Nc1ccc(Cc2noc(n2)-c2ccc3[nH]cc(CCN)c3c2)cc1
BJ1896205,87.3392463110552,-7.084032490325966,Cc1cc(ccc1NC(=O)c1ccnn1C)\N=N\c1ccccc1C
BJ1896206,70.80913560115206,11.39370238745784,COc1cc2c(NC3CCN(C)CC3)nc(nc2cc1OCCCN(C)C)N1CCCN(C)CC1
BJ1895959,85.43085027663474,-10.427499851491143,OC(Cc1cnc2ccccn12)(P(O)(O)=O)P(O)(O)=O
BJ1896819,102.6074069397182,11.627484583475832,COc1cc(C[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Cc2ccc(O)c(OC)c2)ccc1O
BJ1894496,87.05853561954204,6.1801632171099525,CC(=O)NO
BJ1894504,89.33872365512207,13.402720650644786,Nc1ccc(cc1)C([O-])=O
BJ1894405,86.90674910309407,4.477102153231202,OCCNC(=O)CCCCCCCC(=O)NCCO
BJ1895766,86.96675681165819,5.971778262113926,Oc1ccccc1\C=N\NC(=O)c1ccccc1O
BJ1894229,85.60845888655484,20.974990979736777,FC(F)(F)c1ccccc1-n1ccnc1
BJ1896404,77.58685217930815,-1.566531821493632,CC(C)(C)NS(=O)(=O)c1cncc(c1)-c1cc(F)c2nc(N)nn2c1
BJ1894360,73.14492205312244,-1.293404786661632,NCCOB(c1ccccc1)c1ccccc1
BJ1896419,-34.97251354633474,-9.308032021489568,COc1ccccc1-c1c[nH]c2ncc(cc12)-c1cncc(c1)C(=O)N(C)C
BJ1894366,103.20345467077988,2.173990766511003,CC(C)(C)c1cc(O)c(cc1O)C(C)(C)C
BJ1896427,69.92965844416791,-4.745533234797741,CN1CCC[C@H]1c1cncc(c1)C#C
BJ1895786,83.71554712395577,0.7364166711574367,Oc1ccc(NC(=O)CCCc2ccc(cc2)-c2ccccc2F)cc1
BJ1896402,97.63536681625568,31.12476851142894,COc1cc(Br)c(cc1OC)S(=O)(=O)Nc1ccc(c(O[C@@H]2CCN(C)C2)c1)C(F)(F)F
BJ1894327,43.22229622363477,-8.398500917027837,Cc1c(nn(c1-c1ccc(I)cc1)-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1
BJ1896436,69.74568774113013,-13.4938554119857,O=C(Nc1ccccc1C(=O)NC1CCCCNC1=O)c1cc2ccccc2s1
BJ1896834,49.95344238872303,7.6599188421885716,COc1cc2CCN(C)C(CCc3ccc(Cl)cc3)c2cc1O
BJ1896138,22.901685173011103,-12.37660535768044,COc1cc2nc(nc(NC3CCCCCC3)c2cc1OC)N1CCC(CC1)N1CCCCC1
BJ1894105,84.28858600491961,-18.44570567511722,COCc1nc2c([nH]1)n(CC(C)C)c(=O)n(C)c2=O
BJ1894326,83.08134431934945,21.59908716566433,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)Nc1ccc(O)cc1
BJ1895719,70.29706039603423,-13.125214595366836,CNC[C@@H]1CC[C@@H](N)[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1
BJ1894544,80.52719984455413,7.164969385657308,OC([C@H](COC(=O)CCC([O-])=O)NC(=O)C(Cl)Cl)c1ccc(cc1)[N+]([O-])=O
BJ1894557,75.652435411073,11.498340015964285,Cc1cc(C2CCCCC2)n(O)c(=O)c1
BJ1894552,84.06984220938209,13.80477431491357,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12
BJ1896374,8.241102618546634,10.204564624994084,Cc1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1Nc1ccc2c(NC(=O)\C2=C/c2ccc[nH]2)c1
BJ1894380,47.286621034339376,14.764498616354537,Oc1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1
BJ1896201,83.75078936691561,5.448826857994377,Cc1cc(on1)C(=CNc1ccc(Cl)cc1)C(=O)Nc1ccc(Cl)cc1 |w:7.8|
BJ1896439,49.76332164634528,9.779234968374702,Cc1oc(nc1CCOc1ccc(CC2SC(=O)NC2=O)c2sccc12)-c1ccccc1
BJ1894348,84.7976819849581,10.994391823327032,OC(CN1CCN(CC1)c1cccc(Cl)c1)C(c1ccccc1)c1ccccc1
BJ1895733,58.6378528483024,0.1958434455589619,Fc1ccc(cc1)-c1nc2SCCn2c1-c1ccncc1
BJ1894215,61.53668444572787,-1.863550649059,CN1CCN(CCc2ccc(Cl)c(Cl)c2)CC1
BJ1894174,54.13129000316551,-4.755764480043977,CCC(Oc1ccc(Cl)cc1)C(=O)OC1CC2CCC(C1)N2C
BJ1896441,66.17920467692281,-7.676733130348166,FC(F)(F)c1cc(NC(=S)Nc2ccc(Br)cc2-c2nnn[nH]2)cc(c1)C(F)(F)F
BJ1896472,83.78947053015057,-7.898565304300249,CCC(=O)N1CCOc2c(C1)cc(cc2OC[C@H]1CCCN(C)C1)-c1ccc(OC)c(OC)c1
BJ1895773,78.94564975289248,-13.077133998961584,[O-][N+](=O)c1ccccc1S(=O)(=O)NC[C@H]1CC[C@H](CNCC2CCc3ccccc3C2)CC1
BJ1895691,64.73054483147523,-4.225107224012857,NCCCCCc1cnc[nH]1
BJ1895690,68.69297576224803,-7.126669709689944,CCCc1c(OCCCOc2ccc(OCC(O)=O)cc2)ccc(CC=O)c1O
BJ1894061,58.78630362987786,7.684284292984726,Clc1cccc(Nc2nnc(-c3ccccc3)c3ccccc23)c1
BJ1896053,52.39864815247695,29.424563553144733,Cc1ccccc1C(N1C2CCC1CC(O)(C2)c1ccccc1)c1ccccc1C
BJ1896183,59.60753199445968,-9.386511194914965,"CC1=C(C(c2cccc(c2)[N+]([O-])=O)C(=C(C)N1)P1(=O)OCC(C)(C)CO1)C(=O)OCCN(Cc1ccccc1)c1ccccc1 |t:1,14|"
BJ1895597,77.2350403382902,-16.766577547541743,CCOc1cc(OCC)c(cc1OCC)C(=O)CCC(O)=O
BJ1895584,45.51316435050832,-12.77562276561244,CC(COc1ccccc1Cc1ccccc1)N1CCCCC1
BJ1894576,60.99960788073707,1.2775138292365564,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
BJ1894408,67.5053313437472,-10.09723157000234,CC(=O)C1C(=O)OC(C)=CC1=O |c:8|
